"ID","CREATEDBYSTAFFID","CREATEDDATE","LASTUPDATEDBYSTAFFID","LASTUPDATEDDATE","STATUS","ALIAS","DESCRIPTION","NAME","PARENTBUSINESSMODELID"
1,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","SERVICE_MANAGER_MENU_VIEW","Service Manager","Service Manager",1
2,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","CHANGE_PASSWORD_MENU_VIEW","Change Password Module","Change Password Module",1
3,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","SYSTEM_PARAMETER_MENU_VIEW","System Parameter","System Parameter",1
4,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","STAFF_MANAGER_MENU_VIEW","Staff Manager","Staff Manager",1
5,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","SERVER_MANAGER_MENU_VIEW","Server Manager","Server Manager",1
6,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","DEVICE_ATTRIBUTE_MANAGER_MENU_VIEW","Device Attribute Configuration","Device Manager",1
7,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","EMS_MENU_VIEW","EMS View","EMS",1
8,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","SNMP_CONFIGURATION","SNMP Configuration Module","SNMP Configuration Module",1
9,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","INACTIVE","PRODUCT_CONFIGURATION_MENU_VIEW","Product Configuration Manager","Product Configuration Manager",1
10,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","APPLY_LICENSE_MENU_VIEW","License Manager","License Manager",1
11,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","INACTIVE","PROFILE_CONFIGURATION_MENU_VIEW","Profile Management","Profile Management",1
12,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","SYSTEM_AGENT_CONFIGURATION","System Agent Module","System Agent Module",1
13,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","UPDATE_PROFILE","Update Profile Module","Update Profile Module",1
14,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","DATABASE_CONFIGURATION_MENU_VIEW","Database Configuration Manager","Database Configuration Manager",1
15,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","MIS_REPORTS_MENU_VIEW","MIS Report Manager","MIS Report Manager",1
16,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","MIGRATION_MANAGER_MENU_VIEW","Migration Manager","Migration Manager",1
17,1,"2017-01-13 10:29:20.0000",3,"2017-01-13 10:29:20.0000","ACTIVE","ERROR_REPROCESS_MENU_VIEW","Error Re-process Manager","Error Re-process Manager",1